"bgreporthash","other_publication_title","other_publication_year","other_publication_reference"
"b7fe8dd2ed923dd730a883bbfe2d841c","Estrategia Nacional para la conservación de la Focha Moruna (Fulica cristata). Recientemente actualizada a través de la Estrategia Nacional de conservación de la Malvasía cabeciblanca (Oxyura leucocephala), Focha moruna (Fulica cristata) y Cerceta pardilla (Marmaronetta angustirostris), aprobada en octubre de 2013 (no disponible aún en la web del Ministerio de Agricultura, Alimentación y Medio Ambiente).","2008","http://www.magrama.gob.es/es/biodiversidad/temas/conservacion-de-especies-amenazadas/estrategias-y-planes-de-especies/Estrategia_focha_moruna.aspx"
"b7fe8dd2ed923dd730a883bbfe2d841c","Estrategia Nacional para la conservación de la Malvasía cabeciblanca (Oxyura leucocephala). Recientemente actualizada a través de la Estrategia Nacional de conservación de la Malvasía cabeciblanca (Oxyura leucocephala), Focha moruna (Fulica cristata) y Cerceta pardilla (Marmaronetta angustirostris), aprobada en octubre de 2013 (no disponible aún en la web del Ministerio de Agricultura, Alimentación y Medio Ambiente).","2009","http://www.magrama.gob.es/es/biodiversidad/temas/conservacion-de-especies-amenazadas/estrategias-y-planes-de-especies/Estrategia_malvasia_cabeciblanca.aspx"
"b7fe8dd2ed923dd730a883bbfe2d841c","Estrategia Nacional para la Conservación de la Pardela balear (Puffinus mauretanicus)","2009","http://www.magrama.gob.es/es/biodiversidad/temas/conservacion-de-especies-amenazadas/estrategias-y-planes-de-especies/Estrategia_pardela_balear.aspx"
"b7fe8dd2ed923dd730a883bbfe2d841c","Estrategia nacional para la conservación del Quebrantahuesos (Gypaetus barbatus)","2000","http://www.magrama.gob.es/es/biodiversidad/temas/conservacion-de-especies-amenazadas/estrategias-y-planes-de-especies/Estrategia_quebrantahuesos.aspx"
"b7fe8dd2ed923dd730a883bbfe2d841c","Estrategia Nacional para la conservación del Urogallo cantábrico (Tetrao urogallus cantabricus) en España","2004","http://www.magrama.gob.es/es/biodiversidad/temas/conservacion-de-especies-amenazadas/estrategias-y-planes-de-especies/Estrategia_urogallo_cantabrico.aspx"
"b7fe8dd2ed923dd730a883bbfe2d841c","Estrategia Nacional para la conservación del Urogallo pirenaico (Tetrao urogallus aquitanicus) en España","2009","http://www.magrama.gob.es/es/biodiversidad/temas/conservacion-de-especies-amenazadas/estrategias-y-planes-de-especies/Estrategia_urogallo_pirenaico.aspx"
"11ed6aab08472c3faaa3bf1303dd210a","Suomen rengastusatlas I Kattaa lajit kyhmyjoutsenesta tunturikihuun. Kunkin lajin kuvissa ja taulukoissa esitellään vuosittaiset rengastusmäärät, rengastuspaikat kartalla, lintujen löytötila ja kuolinsyyt sekä tapaamispaikat karttapohjalla, poikasena rengastettujen lintujen muuttosuunta ensimmäisenä syksynä, poikasena rengastettujen lintujen syys- ja kevätmuuton eteneminen sekä talvialueet karttapohjilla ja lopuksi löytöjen jakaantuminen ikäluokittain pylväsdiagrammin avulla esitettynä.","2013","Saurola, P., Valkama, J. ja Velmala W. 2013: Suomen rengastusatlas I"
"2257633935dcef7ed3067cc23f31269e","Cahiers d’habitats oiseaux [bird habitat management notice]","2012","MNHN (coord.) 2012. Cahiers d’habitats Natura 2000. Connaissance et gestion des habitats et des espèces d’intérêt communautaire, Tome 8 Oiseaux (3 vol). La documentation française, Paris."
"2257633935dcef7ed3067cc23f31269e","Observatoire des ZPS [SPA monitoring database]","2013","LPO : gwenael.quaintenne@lpo.fr"
"848e80b57c36c79d7de3f7d816b97344","Vögel in Deutschland 2007: Schwerpunkt ""Zustand der Vogelarten"": Bestandsabnahmen bei vielen häufigen Arten, Gefährdung von Bodenbrütern der Agrarlandschaft, positive Entwicklung bei Arten der Wälder und bei Großvögeln, Indikator für Artenvielfalt, Einfluss des Klimawandels","2007","Sudfeldt, C., Dröschmeister, R., Grüneberg, C., Mitschke, A., Schöpf, H. & Wahl, J. (2007): Vögel in Deutschland 2007. DDA, BfN, LAG VSW, Münster: 40 S. (http://www.dda-web.de/downloads/texts/publications/statusreport2007_ebook.pdf)"
"848e80b57c36c79d7de3f7d816b97344","Vögel in Deutschland 2008: Schwerpunkt ""Ergebnisse der Roten Liste"": Erhaltungszustand der Brutvogelarten gemäß Roter Liste, Bestandstrends häufiger Arten, Rückgänge bei Bodenbrütern, Brutvögeln der Feuchtgrünländer und Sandstrände, schlechter Erhaltungszustand von Langstreckenziehern, Einfluss des Klimawandels, Indikator für Artenvielfalt","2008","Sudfeldt, C., Dröschmeister, R., Grüneberg, C., Jaehne, S., Mitschke, A. & Wahl, J. (2008): Vögel in Deutschland 2008. DDA, BfN, LAG VSW, Münster: 46 S. (http://www.dda-web.de/downloads/texts/publications/statusreport2008_ebook.pdf)"
"848e80b57c36c79d7de3f7d816b97344","Vögel in Deutschland 2009: Schwerpunkt ""Vogelschutzrichtlinie"": Bestände vieler Vogelarten nehmen weiter ab, Erhaltungszustand bei Anhang-I-Arten in Deutschland, Schutz von wandernden Arten, rechtlicher Schutz für Vogelschutzgebiete, Artenhilfsprogramme, Vertragsnaturschutz als Partner des Vogelschutzes","2009","Sudfeldt, C., Dröschmeister, R., Flade, M., Grüneberg, C., Mitschke, A., Schwarz, J. & Wahl, J. (2009): Vögel in Deutschland 2009. DDA, BfN, LAG VSW, Münster: 68 S. (http://www.dda-web.de/downloads/texts/publications/statusreport2009_ebook.pdf)"
"848e80b57c36c79d7de3f7d816b97344","Vögel in Deutschland 2010: Schwerpunkt ""Vögel und biologische Vielfalt"": Vögel stärken das Bewusstsein für die Natur, Vögel als Indikatoren, Lebensraumverlust und -zerschneidung als bedeutender Gefährdungsfaktor, Nutzungen an der Erhaltung der biologischen Vielfalt ausrichten, Schad- und Nährstoffe reduzieren, Schutzgebietsstatus sichern und Biotopverbund ausbauen, Erhaltungszustand von Vögeln verbessern, Vogelbeobachtung und Naturerlebnis als Wirtschaftsfaktor, konsequente Umsetzung der Nationa","2010","Sudfeldt, C., Dröschmeister, R., Langgemach, T. & Wahl, J. (2010): Vögel in Deutschland 2010. DDA, BfN, LAG VSW, Münster: 56 S. (http://www.dda-web.de/downloads/texts/publications/statusreport2010_ebook.pdf)"
"848e80b57c36c79d7de3f7d816b97344","Vögel in Deutschland 2011: Schwerpunkt ""Rastende Wasservögel und 40-jähriges Bestehen der Ramsar Konvention"": 13 - 15 Mio. Rastvögel jährlich in Deutschland, Nord- und Ostsee mit bes. Bedeutung, weitere Ramsar-Gebiete sollen gemeldet werden, positive Bestandstrends bei den meisten Arten, aber Rückgänge z. B. bei Muscheln fressenden Arten, Monitoring findet in über 3.000 Gebieten statt.","2011","Wahl, J., Dröschmeister, R., Langgemach, T. & Sudfeldt, C. (2011): Vögel in Deutschland 2011. DDA, BfN, LAG VSW, Münster: 76 S. (http://www.dda-web.de/downloads/texts/publications/statusreport2011_ebook.pdf)"
"848e80b57c36c79d7de3f7d816b97344","Vögel in Deutschland 2012: Schwerpunkt ""Vogelzug"": Deutschland hat hohe Verantwortung für den Schutz von Zugvögeln, Vögel der offenen Agrarlandschaft gehören zu den am stärksten gefährdeten Zugvögeln, Forschung ist unverzichtbar für die Entwicklung effektiver Schutzmaßnahmen, Monitoring ist entscheidend und muss besonders für die Nicht-Wasservogelarten aufgebaut werden.","2012","Sudfeldt, C., Bairlein, F., Dröschmeister, R., König, C., Langgemach, T. & Wahl, J. (2012): Vögel in Deutschland 2012. DDA, BfN, LAG VSW, Münster, 58 S. (http://www.dda-web.de/downloads/texts/publications/statusreport2012_ebook.pdf)"
"848e80b57c36c79d7de3f7d816b97344","Artensteckbriefe von See- und Wasservögeln der deutschen Nord- und Ostsee: Vorstellung von 27 Vogelarten in Artensteckbriefen: wissenschaftliche Grundlagen über die Ökologie, Zusammenfassung von neuen und bestehenden Daten über die biologischen Charakteristika, Ableitung von Empfindlichkeiten gegenüber menschlicher Aktivitäten auf Grundlage der morphologischen, verhaltensbiologischen und ernährungsökologischen Eigenschaften","2008","Mendel, B., Sonntag, N., Wahl, J., Schwemmer, P., Dries, H., Guse, N., Müller, S. & Stefan Garthe (2008): Artensteckbriefe von See- und Wasservögeln der deutschen Nord- und Ostsee. Naturschutz und Biologische Vielfalt 59. Bundesamt für Naturschutz, Bonn: 437 S."
"848e80b57c36c79d7de3f7d816b97344","Drei Jahrzehnte Vogelschutz im Herzen Europas: Rückblick, Bilanz und Herausforderungen","2010","Boye, P., Vischer-Leopold, M., Paulsch, C., Ssymank, A. und Beulshausen, F. (Bearb.) (2010): Drei Jahrzehnte Vogelschutz im Herzen Europas: Rückblick, Bilanz und Herausforderungen. Naturschutz und Biologische Vielfalt 95. Bundesamt für Naturschutz, Bonn: 258 S."
"7a9acd609d6e9e49dff3f76caa46985c","BHG: Natuurrapport","2012","www.leefmilieubrussel.be"
"7a9acd609d6e9e49dff3f76caa46985c","Degraer, S., W. Courtens, J. Haelters, K. Hostens, T. Jacques, F. Kerckhof, E. Stienen & G. Van Hoey (2010). Bepalen van instandhoudingsdoelstellingen voor de beschermde soorten en habitats in het Belgische deel van de Noordzee, in het bijzonder in beschermde mariene gebieden. Eindrapport in opdracht van de Federale Overheidsdienst Volksgezondheid, Veiligheid van de Voedselketen en Leefmilieu, Directoraat-generaal Leefmilieu. Brussel, België. 132 pp. Includes description of occurrence, habitat and threats concerning the following species: Gavia arctican Melanitta nigra, Podceps cristatus, Hydrocoleus (Larus) minutus, Larus marinus, Larus fuscus, Sterna sandvicensis, Sterna hirundo, Sterna albifrons.","2010","www.de-noordzee.be"
"0d8614bcbab10d3411aa794da68a2c3a","Czech and Slovak Bird Migration Atlas Summary of the bird ringing results of the 1914- 2002 period (contains maps, graphs and tables of results with detailed comments)","2008","Cepák J., Klvaňa P., Škopek J., Schropfer L., Jelínek M., Hořák D., Formánek J., Zárybnický J. Atlas migrace ptáků České a Slovenské republiky. Praha: Aventinum, 2008. ISBN 978-80-86858-87-6"
"68f8415419f2da79d7febba1cdfc9ea4","National Biodiversity Strategy & Action Plan –NBSAP","2012","http://www.mepa.org.mt/file.aspx?f=9219"
"0901b8ce540ce2e03d3c6dce344f6956","The abundance of farmland specialist birds in relation to intensity of agricultural land-use","2008","Herzon, I., Auninš, A., Elts, J., & Preikša, Z. (2008). Intensity of agricultural land-use and farmland birds in the Baltic States. Agriculture, Ecosystems & Environment, 125 (1), 93-100."
"90ce9bcac81b3236edc70d3e1fc070db","Fåglar - Revision av nationell miljöövervakning, Rapport 6493","2012","http://www.naturvardsverket.se/Documents/publikationer6400/978-91-620-6493-8.pdf"
"90ce9bcac81b3236edc70d3e1fc070db","Populationstrender för fågelarter som häckar i Sverige, Rapport 5813","2008","http://www.naturvardsverket.se/Documents/publikationer/620-5813-5.pdf"
"90ce9bcac81b3236edc70d3e1fc070db","Utvärdering av det svenska nätverket av Särskilda Skyddsområden för fåglar (SPA-nätverket), Rapport 6390","2010","http://www.naturvardsverket.se/Documents/publikationer6400/978-91-620-6390-0.pdf"
"90ce9bcac81b3236edc70d3e1fc070db","Förslag till en integrerad viltövervakning","2010","ISBN 978-91-620-6308-5"
"ab4b3ff9e2e2a8445c79936ae335361b","Elts, J., Leito, A., Leivits, A., Luigujõe, L., Mägi, E., Nellis, Rein, Nellis, Renno, Ots, M., Pehlak, H. 2013. Status and numbers of Estonian birds, 2008−2012. Hirundo 26(2): 80-112.","2013","http://www.eoy.ee/hirundo/file_download/149/Elts_et_al_2013_2.pdf"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","Scottish Natural Heritage’s Species Action Framework","2011","Links to publications from http://www.snh.gov.uk/protecting-scotlands-nature/species-action-framework"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","Conservation Framework for Hen Harriers in the UK","2011","Fielding, A., Haworth, P., Whitfield, P., McLeod, D. & Riley, H. 2011. A Conservation Framework for Hen Harriers in the United Kingdom. JNCC Report 441. Joint Nature Conservation Committee, Peterborough. http://jncc.defra.gov.uk/pdf/jncc441.pdf"
"d99e09e57326bcc4d9943559ebb456b0","KvVM fajmegőrzési tervek. Túzok Species action plan for Great Bustard (Otis tarda). (2004)","2008","http://www.termeszetvedelem.hu/_user/downloads/fajmegorzesi%20tervek/T%FAzok%20.pdf"
"d99e09e57326bcc4d9943559ebb456b0","KvVM fajmegőrzési tervek. Kék vércse Species action plan for Red-footed Falcon (Falco vespertinus). (2004)","2008","http://www.termeszetvedelem.hu/_user/downloads/fajmegorzesi%20tervek/K%E9k%20v%E9rcse.pdf"
"d99e09e57326bcc4d9943559ebb456b0","KvVM fajmegőrzési tervek. Széki lile Species action plan for Kentish Plover (Charadrius alexandrinus). (2004)","2008","http://www.termeszetvedelem.hu/_user/downloads/fajmegorzesi%20tervek/szeki_lile.pdf"
"d73a8fda9dff245568a26477fcc1cbd9","Andreotti L., Leonardi G., (a cura di), 2009. Piano d'azione nazionale per il Capovaccaio (Neophron pernocpterus). Quad. Cons. Natura, 30, Min. Ambiente - ISPRA. National Action Plan for the Egyptian Vulture.","2009","http://www.isprambiente.gov.it/it/pubblicazioni/quaderni/conservazione-della-natura/piano-d2019azione-nazionale-per-il-capovaccaio"
